sizing_factor,max_levels,avg_win,avg_bust,n_ratio,n_sessions,n_busts,win_rate,p_min,margin_of_safety,is_viable
1.3,3,0.71,-6.66,9.4,4504,765,0.8302,0.903663500678426,-0.073463500678426,False
1.3,4,0.29,-8.92,31.0,4161,398,0.9043,0.968512486427796,-0.06421248642779598,False
1.3,5,0.0,-13.35,4826.8,3917,223,0.9431,1.0,-0.05689999999999995,False
1.3,6,-0.19,-18.22,,3885,100,0.9743,1.0105379922351636,-0.03623799223516355,False
1.3,8,-0.47,-33.94,,3765,33,0.9912,1.014042426053182,-0.022842426053181986,False
1.5,3,0.88,-7.86,8.9,4504,765,0.8302,0.8993135011441648,-0.0691135011441647,False
1.5,4,0.48,-11.93,24.7,4161,398,0.9043,0.9613215149073328,-0.05702151490733276,False
1.5,5,0.18,-19.0,108.0,3917,223,0.9431,0.9906152241918665,-0.04751522419186649,False
1.5,6,-0.04,-29.78,,3885,100,0.9743,1.0013449899125757,-0.027044989912575645,False
1.5,8,-0.41,-68.2,,3765,33,0.9912,1.0060480896887447,-0.014848089688744737,False
2.0,3,1.38,-11.29,8.2,4504,765,0.8302,0.8910812943962115,-0.06088129439621148,False
2.0,4,1.15,-21.65,18.9,4161,398,0.9043,0.9495614035087719,-0.04526140350877195,False
2.0,5,0.91,-39.73,43.6,3917,223,0.9431,0.9776082677165355,-0.03450826771653548,False
2.0,6,0.85,-82.69,97.4,3885,100,0.9743,0.9898252334211157,-0.01552523342111567,False
2.0,8,0.6,-144.14,238.5,3771,60,0.9841,0.9958546358988531,-0.011754635898853172,False
2.5,3,1.96,-15.11,7.7,4504,765,0.8302,0.8851786760398359,-0.05497867603983586,False
2.5,4,2.01,-33.57,16.7,4161,398,0.9043,0.9435075885328837,-0.03920758853288375,False
2.5,5,1.93,-65.55,33.9,3917,223,0.9431,0.9713989330171902,-0.02829893301719011,False
2.5,6,2.54,-167.75,66.0,3885,100,0.9743,0.985084268013389,-0.010784268013388942,False
2.5,8,2.54,-167.75,66.0,3885,100,0.9743,0.985084268013389,-0.010784268013388942,False
3.0,3,2.56,-19.03,7.4,4504,765,0.8302,0.8814265863825846,-0.051226586382584594,False
3.0,4,2.91,-45.7,15.7,4161,398,0.9043,0.9401357745319894,-0.035835774531989384,False
3.0,5,2.84,-86.92,30.6,3917,223,0.9431,0.9683600713012477,-0.025260071301247633,False
3.0,6,2.84,-86.92,30.6,3917,223,0.9431,0.9683600713012477,-0.025260071301247633,False
3.0,8,2.84,-86.92,30.6,3917,223,0.9431,0.9683600713012477,-0.025260071301247633,False
