sizing_factor,max_levels,avg_win,avg_bust,n_ratio,n_sessions,n_busts,win_rate
1.3,3,0.71,-6.66,9.4,4504,765,0.8302
1.3,4,0.29,-8.92,31.0,4161,398,0.9043
1.3,5,0.0,-13.35,4826.8,3917,223,0.9431
1.3,6,-0.19,-18.22,,3885,100,0.9743
1.3,8,-0.47,-33.94,,3765,33,0.9912
1.5,3,0.88,-7.86,8.9,4504,765,0.8302
1.5,4,0.48,-11.93,24.7,4161,398,0.9043
1.5,5,0.18,-19.0,108.0,3917,223,0.9431
1.5,6,-0.04,-29.78,,3885,100,0.9743
1.5,8,-0.41,-68.2,,3765,33,0.9912
2.0,3,1.38,-11.29,8.2,4504,765,0.8302
2.0,4,1.15,-21.65,18.9,4161,398,0.9043
2.0,5,0.91,-39.73,43.6,3917,223,0.9431
2.0,6,0.85,-82.69,97.4,3885,100,0.9743
2.0,8,0.6,-144.14,238.5,3771,60,0.9841
2.5,3,1.96,-15.11,7.7,4504,765,0.8302
2.5,4,2.01,-33.57,16.7,4161,398,0.9043
2.5,5,1.93,-65.55,33.9,3917,223,0.9431
2.5,6,2.54,-167.75,66.0,3885,100,0.9743
2.5,8,2.54,-167.75,66.0,3885,100,0.9743
3.0,3,2.56,-19.03,7.4,4504,765,0.8302
3.0,4,2.91,-45.7,15.7,4161,398,0.9043
3.0,5,2.84,-86.92,30.6,3917,223,0.9431
3.0,6,2.84,-86.92,30.6,3917,223,0.9431
3.0,8,2.84,-86.92,30.6,3917,223,0.9431
